Item_ID	Sentence	Adj	Noun
699:38	a republican candidate who live -- streamed herself harassing a transgender woman in a bathroom could face a criminal probe.	transgender	woman
701:74	the candidate, who is also a spokesperson for the group ‘ latinos for trump ’, filmed herself shouting abuse at a transgender woman who was using the bathroom in a denny ’s restaurant.	transgender	woman
707:33	” saavedra then waits outside the toilets to ambush the trans woman with the camera, calling them a “ stupid guy ” and adding: “ next time use the men ’s room, or nobody ’s room.	trans	woman
741:74	” however, conspiracy theorists from website info wars have taken rivers ’ comments seriously, and now seem convinced that michelle obama is a trans woman.	trans	woman
797:21	under the ioc ’s current policy, trans women can compete in sport if their testosterone level in serum is kept below 10 nanomoles per litre for at least 12 months.	trans	women
798:32	the forum is unlikely to spell good news for trans women in rugby.	trans	women
801:35	if the organisation decides to reduce the allowable testosterone level, trans women could be pushed out of the sport entirely.	trans	women
830:22	” turkish government urged to protect transgender women from murder.	transgender	women
831:53	the greek transgender support association --lrb- gtsa --rrb- has condemned a series of violent attacks and murders against transgender women in turkey and has called on the turkish government to respond.	transgender	women
832:67	in a statement gtsa said three murders had been recorded, along with a suicide, plus five other separate attacks against trans women in july.	trans	women
837:41	they also want the police to “ thoroughly investigate all killings against trans women ” and to bring their killers to justice.	trans	women
862:8	another trans woman of colour was stabbed to death in new orleans two days later.	trans	woman
875:18	” the mp also backed trans women running for parliament on all -- women shortlists.	trans	women
878:24	caroline flint has claimed that allowing transgender women into women -- only spaces puts other women at risk.	transgender	women
880:32	” the labour politician went on to question whether transgender women who “ look and sound like a man ” should be allowed to access women ’s spaces.	transgender	women
882:47	it ’s difficult to judge if someone says they define themselves as a trans woman but for all intents and purposes they look and sound like a man.	trans	woman
903:45	” hundreds of abusive tweets were sent to creasy degrading the experience of trans women and accusing her of being a “ lesophobe ” and a “ handmaiden scumbag ”.	trans	women
925:22	” us: suspected murderer of transgendered woman gains new lawyer.	transgendered	woman
926:45	in washington dc, a 55 -- year -- old man accused of stabbing a trans woman in the face back in february has been assigned a new defence lawyer.	trans	woman
962:7	one trans woman tweeted: “ my life is not some political token to be tossed about by right -- wing reprobates seeking re-election.	trans	woman
964:15	” i am a trans woman.	trans	woman
1039:50	” rose mcgowan claims there ’s a conspiracy to discredit her after hurling abuse at transgender woman.	transgender	woman
1040:74	rose mcgowan has claimed that an incident in which she shouted transphobic comments is a conspiracy to discredit her, claiming the transgender woman she clashed with is a “ paid actor ” and a “ monster ”.	transgender	woman
1043:7	the transgender woman had attempted to get mcgowan to speak about her previous negative comments about trans women.	transgender	woman
1043:50	the transgender woman had attempted to get mcgowan to speak about her previous negative comments about trans women.	trans	women
1069:29	mcgowan then shared a message reportedly identifying the transgender woman who she had clashed with.	transgender	woman
1089:9	” the transgender woman had been attempting to get mcgowan to address comments she made on a podcast last year about trans women.	transgender	woman
1089:68	” the transgender woman had been attempting to get mcgowan to address comments she made on a podcast last year about trans women.	trans	women
1098:7	a trans woman may be about to make history at the oscars.	trans	woman
1106:69	matt bomer played a trans sex worker in anything earlier this year, following in a line of cis male actors to play transgender women.	transgender	women
1108:28	elle fanning also sparked outrage by playing a trans male in 3 generations.	trans	male
1139:26	republican politician who filmed herself harassing transgender woman loses election.	transgender	woman
1140:38	a republican candidate who live -- streamed herself harassing a transgender woman in a bathroom has lost her election.	transgender	woman
1142:85	saavedra, who is also a spokesperson for the group ‘ latinos for trump ’, made headlines after she filmed herself shouting abuse at a transgender woman who was using the bathroom in a denny ’s restaurant.	transgender	woman
1151:33	” saavedra then waits outside the toilets to ambush the trans woman with the camera, calling them a “ stupid guy ” and adding: “ next time use the men ’s room, or nobody ’s room.	trans	woman
1188:80	herndon graddick, a spokesman for glaad, which had called on the competition to reconsider ms talackova ’s case and ensure equal access for transgender women said it was an “ important ” move.	transgender	women
1191:90	“ the miss universe organization should look to state non-discrimination laws and institutions including the olympics, ncaa and the cw ’s america ’s next top model, which do not discriminate against transgender women.	transgender	women
1192:9	” a transgender woman is petitioning pakistan ’s high court to demand better human rights.	transgender	woman
1193:7	a transgender woman has petitioned lahore high court for better treatment of members of the transgender community.	transgender	woman
1208:8	another trans woman in pakistan was shot after she refused to have sex with attackers who broke into her home.	trans	woman
1238:7	a transgender woman has been fatally shot in cleveland, becoming the 14th trans victim in the us in 2018.	transgender	woman
1248:18	on the same day, trans woman cathalina christina james was killed in jacksonville, florida.	trans	woman
1249:18	james is the third black trans woman to be killed in 2018.	trans	woman
1259:35	in may, gigi pierce, a 28 -- year -- old transgender woman was shot dead in public in portland, oregon.	transgender	woman
1272:63	in 2017, at least 26 transgender people were killed in the us and nearly all of the victims were trans women of colour.	trans	women
1277:58	speaking to time, the 27 -- year -- old miss spain said: “ i ’m showing that trans women can be whatever they want to be: a teacher, a mother, a doctor, a politician and even miss universe.	trans	women
1282:38	“ if they give me the crown, it would show trans women are just as much women as cis women.	trans	women
1288:79	” the contestant has had a long road to the pageant, competing in 2015 ’s miss world spain contest, only to find out the rules barred transgender women.	transgender	women
1289:78	she said: “ it was n’t easy … i found out on the day of the competition that their rules did n’t allow a transgender woman to win.	transgender	woman
1299:66	the us elections were engulfed by a rainbow wave, with more transgender politicians elected than ever before, and in europe a trans woman is now the deputy prime minister of belgium.	trans	woman
1302:44	and, while the numbers are still low, the impact of seeing trans men, trans women and trans non-binary people in positions of actual power will be lifelong.	trans	men
1302:51	and, while the numbers are still low, the impact of seeing trans men, trans women and trans non-binary people in positions of actual power will be lifelong.	trans	women
1320:64	” sarah mcbride, an lgbt rights champion and former national press secretary for the human rights campaign, was the first trans woman ever elected to a state senate.	trans	woman
1367:21	” protesters demand justice for murdered transgender women as trump unveils harmful new policies.	transgender	women
1368:58	protesters gathered in new york on friday 24 may to demand an end to the killings of black transgender women and urge the trump administration to abandon its proposals to reverse transgender rights.	transgender	women
1369:84	heard chanting “ black lives matter ” and “ we will not be erased, ” the activists addressed the increasing number of violent acts carried out against black transgender women throughout the united states.	transgender	women
1372:31	according a report by the human rights campaign, 26 transgender women were killed in 2018.	transgender	women
1381:122	among the demonstrators taking part in the ‘ keep your hands off trans bodies ’ rally in washington square park, five individuals – all veiled and dressed in white – stood silently as they held up photographs of the transgender women killed in recent months.	transgender	women
1383:25	speak out, stand up for black trans women.	trans	women
1392:25	kenny ethan jones made history as the first trans man to front a period campaign in 2018.	trans	man
1400:34	” he describes how navigating this space as a trans man was “ without a doubt one of the biggest hurdles he had to overcome ”, but he was doing it to begin “ healing younger kenny and saying that he was n’t wrong for experiencing a period ” as well as helping other trans people.	trans	man
1401:97	jones says access to affordable, safe period products is part of a larger conversation around “ equal access to healthcare ” that needs to champion the voices of women, trans men and non-binary people.	trans	men
1466:28	” miss united states of america can ban trans woman by enforcing vile ‘ natural born ’ rule, judge says.	trans	woman
1467:56	a judge has ruled that the miss united states of america beauty pageant is legally allowed to exclude trans women.	trans	women
1472:51	according to reuters, vandyke said that requiring miss united states of america to admit trans women would violate its constitutional free speech rights.	trans	women
1484:9	from trans men to trans women, these athletes are those in the middle of debates about whether it ’s fair for transgender people to compete in sports.	trans	men
1484:17	from trans men to trans women, these athletes are those in the middle of debates about whether it ’s fair for transgender people to compete in sports.	trans	women
1488:43	she decided to voice her thoughts regarding whether it ’s fair for trans women to compete in elite sports against cis women after british long -- distance runner paula radcliffe argued it should be “ protected ” for “ females.	trans	women
1491:30	” “ paula continues to ignore facts: trans women are legally female and trans women have been permitted to compete in olympic -- eligible sports since october 2003.	trans	women
1491:50	” “ paula continues to ignore facts: trans women are legally female and trans women have been permitted to compete in olympic -- eligible sports since october 2003.	trans	women
1493:63	“ the very idea that we must ‘ protect ’ cis women ’s — or ‘ female ’ — sport from trans women, who are legally female, too, is an irrational fear of trans women, which is the dictionary definition of transphobia.	trans	women
1493:105	“ the very idea that we must ‘ protect ’ cis women ’s — or ‘ female ’ — sport from trans women, who are legally female, too, is an irrational fear of trans women, which is the dictionary definition of transphobia.	trans	women
1502:93	” australian trans footballer hannah mouncey, who has faced transphobia and death threats for seeking to play in a women ’s team, took to twitter to explain why trans women should be able to compete in female sports without discrimination.	trans	women
1554:39	” pat manuel made history in 2018 when he became the first transgender man to professionally box in the us.	transgender	man
1561:55	” speaking in a youtube 60 -- second documentary the year before, manuel spoke about boxing as a trans man.	trans	man
1575:20	” mack beggs is a young transgender man who won the texas girls high school state wrestling championship in 2017 and 2018.	transgender	man
1594:91	time interviewed the athlete and asked him: “ the main point of angst when it comes to transgender athletes is often this notion of the unfair advantage a transgender woman might have, as if a 10 -- foot player might suddenly be on the girls ’ team.	transgender	woman
1631:8	a trans man in hong kong has launched a legal challenge against a new law that would ban him from marrying unless he undergoes surgery.	trans	man
1635:14	” surgery for trans men can often be dangerous, risky, costly and invasive.	trans	men
1641:38	” the australian state of victoria recently invalidated the marriage of a trans man, because some of his documents did not recognise his gender.	trans	man
1683:19	us: arizona rules transgender man can divorce his wife.	transgender	man
1684:24	an arizona appeals court has decided a transgender man can pursue a divorce from his wife, reversing a decision from a lower court judge who refused to end the marriage.	transgender	man
1705:8	a transgender woman who was blocked from using the women ’s bathroom at a shopping mall in the philippines has said she will pursue legal action.	transgender	woman
1715:20	“ that footage of a trans woman being discriminated is actually a violation of the safe spaces act, ” manalo -- jordan said.	trans	woman
1753:8	a transgender woman in brazil has died by suicide after jumping from a bridge, according to local media reports.	transgender	woman
1762:87	in december, playwright jo clifford said she had received “ horrible death threats ” for her one woman play, which depicts jesus returning to earth as a transgender woman.	transgender	woman
1790:42	the consultation in hong kong was prompted by a 2013 case of a transgender woman who was given the right to marry her boyfriend.	transgender	woman
1876:10	” young trans man left in coma after being brutally attacked at pride.	trans	man
1877:19	a 25 -- year -- old trans man remains in an induced coma after he was attacked at the christopher street day pride celebrations in münster, germany.	trans	man
1879:67	when one attendee, intent on spreading hate, began hurling homophobic abuse at two women, malte, a young trans man, stepped in to defend them, reports german publication männer media.	trans	man
1900:10	a london trans woman was drugged and stabbed to death by a man she had met online, a court has heard.	trans	woman
1940:7	brave transgender woman is shot after trying to wrestle gun off attacker.	transgender	woman
1941:7	a transgender woman has been shot by a man after trying bravely to take the weapon away from him.	transgender	woman
1942:115	a total of 16 trans people have been killed so far this year in the us – most of whom were women of colour – and this incident only served to reinforce how dangerous life is for trans women in the country.	trans	women
1944:41	the two entered the store while struggling over the gun, with the trans woman looking like she had the upper hand.	trans	woman
1946:33	police said that after the provided cctv recording, the trans woman was shot, but is expected to make a full recovery.	trans	woman
1955:89	local resident cierra burks said she would n’t be surprised if it was a hate crime, “ especially if it ’s somewhere in this area, where transgender women are targeted.	transgender	women
1986:25	related: man arrested for killing trans woman in pakistan.	trans	woman
1989:15	in 2016, a transgender woman was shot after refusing to have sex with her attackers following a break -- in.	transgender	woman
2034:63	” butler announced that she would be creating the advisory board in january after a debate surrounding self -- identifying trans women being included on all -- women shortlists came to a head.	trans	women
2035:44	former labour party member jennifer james spearheaded a campaign to block self -- identifying trans women from all women shortlists in the labour party.	trans	women
2037:20	“ i think if a trans woman wanted to be included in an all -- women shortlist then that should be considered, ” she said to in house magazine.	trans	woman
2043:36	corbyn also spoke out in support of self -- identifying trans women, and said that their identity “ should be respected ”.	trans	women
2175:8	a transgender woman, bisexual woman and non-binary lesbian have all made the cut for the top 30 singles of 2019, according to tinder.	transgender	woman
2178:12	“ proud trans woman, ” morgan ’s bio reads: “ judge me all you want, but i ’m the nicest and funniest girl you ’ll ever meet.	trans	woman
2193:20	world ’s third -- richest trans woman buys miss universe franchise, formerly owned by donald trump.	trans	woman
2201:35	” jakrajutatip has been described as the “ third -- richest ” trans woman in the world, with jennifer pritzker, ceo of tawani enterprises, coming out on top as the world ’s “ only known transgender billionaire ”, according to forbes.	trans	woman
2202:69	ranked on scmp, actress laverne cox, olympian caitlyn jenner, and the matrix creators the wachowski sisters, are among the other richest trans women in the world.	trans	women
2203:40	miss universe – formerly co-owned by donald trump until 2015 – banned trans women from entering until 2012, with its first trans contestant, Ángela ponce, taking part in 2018.	trans	women
2204:77	during her run in 2018 after winning miss universe spain, she said her participation in the annual beauty pageant was a symbol that “ trans women are just as much women as cis women ”.	trans	women
2205:53	speaking to time, ponce, now 31, said: “ i ’m showing that trans women can be whatever they want to be: a teacher, a mother, a doctor, a politician and even miss universe.	trans	women
2256:18	judge grants leniency to transgender women who beat up an abusive transphobe.	transgender	women
2257:8	three transgender women have been let off with a curfew order after attacking a man who hurled racist and transphobic abuse at them.	transgender	women
2352:69	the 45 year old actress, who is currently starring in bbc miniseries baptiste, made the revelation about her experiences as a transgender woman in an interview with the telegraph.	transgender	woman
2360:50	the portrayal on the show inspired garcia to open up about her own experiences as a transgender woman.	transgender	woman
2415:199	” however, the hollywood reporter piece poured fresh controversy on the scandal – with revelations that both jill soloway and her sister faith soloway, neither of whom are transgender, had sent private messages to tambor appearing to voice suspicion that the accusers were a part of a “ coup ” seeking to oust the actor from the part because he was a male actor playing a trans woman.	trans	woman
2436:12	last month another transgender woman was placed in a men ’s prison, speaking out about fearing for her life.	transgender	woman
2437:57	russian courts have taken a woman ’s children away from her after they accused her of being a trans man in a same -- sex relationship.	trans	man
2438:59	social services removed yulia savinovskikh ’s two foster sons in august last year on suspicion that she was a transgender man.	transgender	man
2481:83	a third prisoner, tara hudson, has been vocal in criticising her treatment after being kept in a male prison -- while a shocking fourth case revealed a trans woman “ injected bleach ” into her testicles while being kept in a male prison.	trans	woman
2496:31	character blessing will come out to tony as a trans woman in an episode next month.	trans	woman
2514:15	in 2016, a transgender woman was shot after refusing to have sex with her attackers following a break -- in.	transgender	woman
2526:25	82 percent of the identified victims were transgender women of colour, while 55 percent of the deaths occurred in southern states.	transgender	women
2537:50	it added: “ for far too long in our society, transgender people — and especially transgender women of color — have faced blatant discrimination and severe violence simply for being who they are.	transgender	women
2545:106	“ from anti-trans employment and housing discrimination to systemic racism, we must recognize the intersecting factors that influence, motivate and embolden the violence that plagues so many within the transgender community — particularly black and latina transgender women.	transgender	women
2547:52	” jay brown of hrc foundation said: “ at least 128 transgender people — the vast majority transgender women of colour — have been killed in the us in the last five years.	transgender	women
2593:69	the state ’s republican -- backed hb 2 rolled back anti-discrimination protections for lgbt people earlier this year, also introducing regulations to ban transgender women from using the female bathroom on purported ‘ safety ’ grounds.	transgender	women
2689:7	a transgender woman has been brutally murdered after an argument over £ 6.	transgender	woman
2690:7	a transgender woman has been shot dead because she did n’t have change for £ 6.	transgender	woman
2691:23	the victim was one of two transgender women invited to dance at a wedding in kotkay, in northern pakistan.	transgender	women
2714:23	in the last month alone, a trans woman named chutki was killed while travelling in an auto -- rickshaw in peshawar, and another trans woman, chitrali, was stabbed when she resisted a kidnapping attempt.	trans	woman
2714:76	in the last month alone, a trans woman named chutki was killed while travelling in an auto -- rickshaw in peshawar, and another trans woman, chitrali, was stabbed when she resisted a kidnapping attempt.	trans	woman
2794:8	a trans man in indiana is suing the state over a law that is blocking him from legally changing his name to match his gender identity.	trans	man
2910:20	teen arrested for killing black transgender woman in miami.	transgender	woman
2911:50	police say they have arrested a male teenager who allegedly admitted to shooting a transgender woman to death in miami, florida, last week.	transgender	woman
2912:59	kiki fantroy, 21, was fatally shot on 31 july, marking the 13th known murder of a black trans woman in the us this year.	trans	woman
2927:22	all of the victims were black transgender women.	transgender	women
2969:61	pretty little liars has come under fire – after the mysterious villain ‘ a ’ was revealed to be a trans woman struggling with her gender.	trans	woman
2999:18	pilot charged for removing transgender woman ’s testicles.	transgender	woman
3000:53	a pilot has been charged with reckless assault and practising medicine without a licence for removing a trans woman ’s testicles.	trans	woman
3004:7	the trans woman ’s wife noticed a few hours after the surgery that there was blood pouring from the wound.	trans	woman
3005:32	police were called after paramedics attended, but the trans woman wrote a letter saying she was not a victim and defending him.	trans	woman
3011:8	the trans woman, who signed the letter “ jane doe, ” wrote: “ the man who did the operation on me was arrested, and shortly after that his name was released to the press who have now released several stories painting the man as a monster and me as a victim.	trans	woman
3014:8	a transgender man in california recently launched a lawsuit against the mercy san juan centre hospital because they refused to perform gender reassignment surgery on him.	transgender	man
3018:40	the security guard allegedly asked the two students – who are both transgender men – why they had used the men ’s toilet, according to the telegraph.	transgender	men
3067:95	” though her campaign has broadly focused on local and national political issues, roem hit back at marshall ’ smears this week with an ad that embraces her identity as a trans woman.	trans	woman
3086:58	but the gay purge, as it has been dubbed, is not just affecting men — lesbian and transgender women are being targeted, too.	transgender	women
3087:16	zamira, a transgender woman from chechnya, tells pinknews she found out about the anti-lgbt purge last year.	transgender	woman
3236:16	the plaintiffs are two trans women and one trans man.	trans	women
3236:25	the plaintiffs are two trans women and one trans man.	trans	man
3257:32	to mark these celebrations, tens of thousands of trans women, cross-dressers, hijras --lrb- or kothis --rrb- descend from all parts of india, and hundreds of participants in recent years from abroad, to the town of koovagam, where they re-enact the myth over three days, where they symbolically marry the soldier -- deity, and then, on the final day, attain widowhood which they bemoan and bewail together.	trans	women
3264:72	the american civil liberties union is pursuing a complaint on behalf of meagan taylor and a friend – both of whom are black trans women.	trans	women
3283:26	ms taylor added: “ as a black trans woman, i am used to unfair and discriminatory treatment, but this was extra upsetting because we were paying customers at a hotel and on our way to a funeral.	trans	woman
3292:60	a police officer in novosibirsk, russia has confessed to killing his missing ex-girlfriend, a 24 -- year -- old trans woman, after leading the charge to find her.	trans	woman
3318:21	mike huckabee ‘ jokes ’ about transgender man who was raped and murdered.	transgender	man
3324:52	cry is the 1999 film based on the real -- life story of brandon teena, a trans man who was brutally murdered by two men in a hate crime incident.	trans	man
3394:88	scotland ’s first minister nicola sturgeon responded to a bbc presenter who tried to paint trans women as dangerous: “ men are the risk to women, not trans women.	trans	women
3416:52	” sturgeon said: “ well, firstly, men are the risk to women, not trans women.	trans	women
3423:42	vast majority of assaults on women are committed by men, not trans women, and the bbc is continuing to beat down an already marginalised minority group with their line of questioning.	trans	women
3478:42	the 52 -- year -- old, from stamford, lincolnshire, is the second trans woman that the brexit party has announced will stand for them in the event of a general election.	trans	woman
3491:29	” on august 5, the brexit party chose a trans woman to stand in lincolnshire at the next general election.	trans	woman
3494:58	she said she wants to be the uk ’s first trans mp, adding: “ as a proud trans woman, i will always fight for equality and the rights of all groups in society.	trans	woman
3526:69	another history -- making win was that of human rights campaign activist and transgender rights champion sarah mcbride, who became the first trans woman ever elected to a state senate.	trans	woman
3648:16	nicolas talbott, a transgender man who has long dreamed of joining the military, says he will begin his application to join the military next tuesday.	transgender	man
3730:72	” the meeting, called transgenderism and the war on women and hosted in the house of commons, also heard how trans women ‘ parasitically ’ invaded women ’s spaces and were a threat to women ’s liberation.	trans	women
3736:8	a transgender woman who is running to be prime minister of thailand has said she is ready to take the role – but wonders if the people are ready to accept a transgender candidate.	transgender	woman
3742:20	and perhaps next time, even a transgender woman will have a chance.	transgender	woman
3789:30	” us: salvation army refuses to house homeless transgender woman because she has n’t had surgery.	transgender	woman
3834:11	gay man and transgender woman allegedy beaten up by burger king staff.	transgender	woman
3835:35	a gay man was left with a broken jaw and a transgender woman was pepper -- sprayed during an anti-lgbt hate crime from staff at a miami beach burger king last october, a new lawsuit claims.	transgender	woman
3856:7	a transgender woman has announced her intention to run for the governor of vermont.	transgender	woman
3869:18	” christine is the first transgender woman to run for state office in vermont, and if elected, the 61 -- year -- old would be the united states ’ first trans state governor.	transgender	woman
3874:28	roem made history as one of the first trans women to be elected as a state representative, after winning a seat in the virginia house of delegates.	trans	women
3875:72	andrea jenkins won a landslide victory in minneapolis ’s eighth ward to give her a place on the city council, making her the first trans woman of colour elected to any office in the us.	trans	woman
3892:81	” other signatories include kiri tunks, an education union chief who helped set up pressure group woman ’s place uk, which campaigns to exclude transgender women from women -- only spaces.	transgender	women
3893:26	at a woman ’s place uk event last year transgender women were branded “ horrible, hateful, misogynistic bastards ” by a speaker.	transgender	women
3949:7	a transgender man was shot at repeatedly when leaving a bar in philadelphia sunday night.	transgender	man
3960:20	the brexit party has chosen a transgender woman to stand in lincolnshire at the next general election.	transgender	woman
4140:13	madhumita, a trans woman, told the times of india that the bill threatens the trans community, adding that provisions in the bill ban trans citizens from begging, which many are forced to rely on for their income.	trans	woman
4157:8	a transgender woman in virginia was attacked by a mob outside a store last saturday afternoon.	transgender	woman
4158:28	the assault follows the beating of a maryland trans woman in a mcdonald ’s restaurant, which was filmed by a member of staff.	trans	woman
4202:17	” baby born to transgender man could become first with no legal mother.	transgender	man
4205:9	the unidentified trans man began his legal battle earlier this year, after he had given birth to the child and asked to be listed as either a father or parent on the baby ’s birth certificate.	trans	man
4209:8	the trans man ’s lawyers are up against legal representation working on behalf of government ministers and the registrar general for england and wales.	trans	man
4212:27	at the time, the head of the trans man ’s legal team, barrister hannah markham qc, said the law was “ no longer compatible ” with modern society and wider gender expression.	trans	man
4216:15	in 2017, a trans man spoke out about his experiences as the first person to give birth both before and after transitioning.	trans	man
4219:19	” and last year, two trans men reportedly became the first to give birth in the uk.	trans	men
4251:23	she once came out as a trans man but said she also “ a thousand per cent ” identified with the gender she was assigned at birth.	trans	man
4253:26	philadelphia police arrest man in attack on transgender woman.	transgender	woman
4254:51	police in philadelphia have arrested and identified a man in connection with an attack on a transgender woman.	transgender	woman
4255:50	the 25 -- year -- old man, daejon workman, was caught on camera attacking the trans woman, say police.	trans	woman
4259:24	he was accused of attacking the transgender woman who was walking with friends on friday evening.	transgender	woman
4264:23	a man has admitted attacking a transgender woman who was performing a sex act on him.	transgender	woman
4265:62	40 -- year -- old construction worker scott allan appeared in liverpool crown court over the incident, which left the trans woman bleeding and needing stitches.	trans	woman
4348:7	two trans women were slain only days before transgender day of remembrance as an “ epidemic of violence ” tightens its chokehold on the us.	trans	women
4350:33	while danyale johnson, a 35 -- year -- old black trans woman, was found dead in a memphis, tennessee, parking lot after her shooter left her bleeding as they stole her vehicle on 13 november.	trans	woman
4384:11	for black trans women in the exact same age group, the rate rockets to one in 2,600, an investigation by mic found.	trans	women
4385:42	if in 2015 all americans had the same risk of murder as black trans women, there would have been 120,087 slain instead of 15,696.	trans	women
4386:29	tyianna alexandra, a 28 -- year -- old black trans woman, was shot and killed in chicago in the early hours of 6 january, becoming the first known violent killing of a trans person in 2021.	trans	woman
4453:54	responding to elizabeth ’s comments, sarah brown, a member of stonewall ’s trans advisory group and a trans woman, told pinknews: “ the hormone quote is absurd.	trans	woman
4530:24	“ the epidemic of violence facing transgender women and girls across the globe is a crisis by any measure, and we are determined to partner with others to help address this urgent need.	transgender	women
4546:8	pakistani transgender woman ‘ kidnapped and tortured ’ by gang.	transgender	woman
4547:32	a gang of thugs reportedly kidnapped and tortured a transgender woman in mardan, pakistan, shaving off her hair after she refused to give them money.	transgender	woman
4646:7	a transgender woman has been shot dead in the pakistani city of peshawar.	transgender	woman
4657:14	last month, a trans woman was tortured and beheaded in pakistan.	trans	woman
4666:9	two other trans women were left brutally beaten when five men broke into the house rented by a group of trans women in the capital, karachi.	trans	women
4666:62	two other trans women were left brutally beaten when five men broke into the house rented by a group of trans women in the capital, karachi.	trans	women
4696:88	the brief submitted by trump ’s justice department pertains to one of those three cases: rg& gr funeral homes inc vs equal employment opportunity commission, in which transgender woman aimee stephens was fired after she transitioned.	transgender	woman
4792:29	philippines: us marine charged with murder of transgender woman.	transgender	woman
4793:38	a us marine has been charged with the murder of a filipino transgender woman in olongapo.	transgender	woman
4813:8	a transgender man whose divorce request was rejected by an arizona judge says he will continue with his legal fight.	transgender	man
4857:23	as a labour parliamentary candidate and a trans woman i fully support him in his cross-party approach to reforming the gender recognition act.	trans	woman
4863:22	there have been cases of trans women losing their lives because the lack of a grc placed them in harms way, most notably inside our prison system.	trans	women
4952:7	a transgender woman was shot and killed in chicago in the early hours of tuesday morning.	transgender	woman
5037:52	the out actress and lgbt activist revealed on social media that her child samuel joseph mozes is a transgender man.	transgender	man
5073:59	he also pleaded on behalf of meghan murphy, who was banned from twitter after misgendering a trans woman, and other figures banned for breaching twitter ’s rules on hateful conduct.	trans	woman
861:17	chyna gibson was the sixth trans woman to be killed in the us this year, just 4 days after tiara richmond --lrb- keke collier --rrb- was murdered in chicago on tuesday.	trans	woman
3394:50	scotland ’s first minister nicola sturgeon responded to a bbc presenter who tried to paint trans women as dangerous: “ men are the risk to women, not trans women.	trans	women
4455:18	“ the oestrogen in a trans woman ’s urine is the same as the oestrogen in a cis woman ’s urine.	trans	woman
4665:15	last month, two transgender women were allegedly gang -- raped in their own home.	transgender	women
4828:91	the gender non-conforming comic, marathon runner and labour party activist has long been open about his gender identity, initially using the label transvestite before more recently describing himself as a transgender men.	transgender	men
5117:26	” “ to the thousands of brave transgender men and women serving today in uniform, please know that a grateful nation does not take your service, your patriotism for granted.	transgender	men
5189:9	a trailblazing transgender woman is set to enter one of the most famous houses in britain.	transgender	woman
5269:8	six trans men have opened up about their experiences of transphobia in a new episode of pinknews ’ first times.	trans	men
5272:17	in a recent episode, trans men shared the first time they realised they were trans.	trans	men
5274:16	in this episode, trans men steffan, cairo, toby, harry, roshaante and kenny open up about their experiences of transphobia — both within and outside the lgbt community.	trans	men
5275:14	cairo, a trans man and model, said he often experiences trolling online.	trans	man
5281:46	” steffan zachiyah, who first came out as lesbian and later as a transgender man, told pinknews: “ it ’s only recently i started coming out a bit more and getting interactive with the lgb community because at one point i did feel shunned from the lgb community.	transgender	man
5284:38	” kenny jones, who has campaigned on period issues for transgender men, told pinknews he remembers a particularly horrible encounter of transphobia aged 13 — not long after he came out.	transgender	men
5295:54	the phrase has become a calling card for activists who are opposed to the rights of transgender women and proposed reforms to gender recognition laws.	transgender	women
5303:8	local trans man alex jones tweeted: “ this transphobic campaign has made its way to newport.	trans	man
5344:12	“ as a trans woman, i know representation matters.	trans	woman
