"","Item_ID","Sentence","Adj","Noun"
"25","21985:32","on thursday, at london ’s thundcrit cycling event, two biological males identifying as women took first and second place and then celebrated their “ achievement ” by kissing on the podium as the third -- place winner, an actual female, held her baby.","biological","males"
"26","16920:30","in january, usa powerlifting issued a rule banning biological males from competing in women ’s events.","biological","males"
"27","59110:35","south carolina joined the chorus of states that have banned biological males from competing in women ’s sports, another hit against radical transgender ideology.","biological","males"
"28","49637:63","the scottish prison service --lrb- sps --rrb- is currently reviewing the country ’s transgender prison policy and whether the practice of housing biological males in female prisons should be stopped.","biological","males"
"29","42934:28","“ democrat laura kelly believes athletes born biological males should share locker rooms and be able to compete with girls and women in sports, and that position is out of touch with nearly two thirds of americans, ” said rga spokesperson joanna rodriguez.","biological","males"
"30","3094:31","we will protect women ’s sports by banning biological males from competing.","biological","males"
"31","69465:72","on tuesday, the louisiana senate overrode democrat gov. john bel edward ’s veto of legislation protecting female student -- athletes from competing against biological males, but the measure failed in the house.","biological","males"
"32","10514:71","if things are allowed to continue, within a decade or so, every sports record held by a woman will fall to a biological male.","biological","male"
"33","31073:40","moreover, taking an athletic opportunity away from a female by admitting biological males into female -- designated athletic programs “ is a loss for basic fairness and the spirit of title ix, ” they assert.","biological","males"
"34","40428:110","it ’s not meant to attack any group, ” florida sen. kelli stargel --lrb- r --rrb- said, defending the measure, explaining it comes down to fairness and the fundamental physical advantages and physiological differences that biological males have compared to females.","biological","males"
"35","19011:67","the idaho senate voted monday to approve the fairness in women ’s sports act --lrb- hb 500a --rrb-, which would ban biological males who identify as female from competing on girls ’ and women ’s athletic teams.","biological","males"
"36","12784:55","“ it has become increasingly clear that the expansion of rights to transgender women — really biological males who identify as female — has come at the expense of rights for biological females, ” donohue adds.","biological","males"
"37","7322:65","adf alleges that the female athletes have been deprived of honors and opportunities ever since the ciac adopted a policy allowing biological males to compete in against females in athletics.","biological","males"
"38","39356:68","however, as breitbart news reported, a study published in september by the karolinska institute and linkoping university in sweden found biological males — who identify as women — who were administered a full year of hormone therapy, still maintained muscle mass and strength advantages over biological women.","biological","males"
"39","46518:19","as adf noted, two biological male athletes “ have taken 15 state championship titles that previously belonged to nine different girls.","biological","male"
"40","4470:22","though, whether transgender women --lrb- biological males --rrb- intend to take over women ’s sports or not.","biological","males"
"41","46596:43","for example, a high -- profile case in connecticut resulted in two biological males winning 15 women ’s track championship titles previously held by nine women.","biological","males"
"42","37809:12","” meanwhile, biological males are increasingly dominating spheres that once belonged to biological women.","biological","males"
"43","53201:40","the ncaa itself does n’t require its member schools to allow biological males who identify as female on female teams.","biological","males"
"44","50753:31","we will protect women ’s sports by banning biological males from competing.","biological","males"
"45","39739:101","” furthermore, the guide explicitly instructs journalists to avoid the terms “ biological gender, ” “ biological sex, ” “ biological woman, ” “ biological female, ” “ biological man, ” or “ biological male ” altogether, deeming them “ inaccurate and often offensive.","biological","male"
"46","27816:36","mckinnon ’s statement that there is no scientific evidence suggesting biological male athletes have an unfair advantage over biological female athletes, is false.","biological","male"
"47","64351:47","the journalist then adds that many women of hillary ’s generation are uncomfortable with biological males sharing women ’s bathrooms.","biological","males"
"48","6878:31","“ when women are forced to compete against biological males, the level playing field that title ix created is obsolete.","biological","males"
"49","46524:65","as breitbart news reported, however, a recent study conducted by the karolinska institute and linkoping university in sweden found biological males — claiming to be transgender women — who were administered a full year of hormone therapy, still maintained muscle mass and strength advantages over biological women.","biological","males"
"50","8983:11","once a biological male is legal recognised as a women, it will be illegal to deny them access to women ’s services such as rape crisis centres.","biological","male"
